Depth;Latitude;Longitude
697;2476126;5860359
686;2476459;5860565
692;2476844;5860803
697;2477459;5861183
692;2478331;5861722
683;2479023;5862151
676;2479793;5862626
670;2480515;5863063
670;2481202;5863374
670;2481643;5863573
662;2481973;5863722
656;2482413;5863921
663;2482991;5864182
665;2483266;5864306
672;2483789;5864542
722;2479797;5859380
718;2479900;5859911
725;2480027;5860559
731;2480159;5861236
724;2480296;5861943
715;2480417;5862562
699;2480535;5863212
676;2480643;5863989
663;2480725;5864586
662;2480775;5864945
653;2480841;5865423
649;2480895;5865812
711;2476689;5861280
709;2476838;5861013
706;2476972;5860773
711;2477106;5860533
711;2477196;5860373
711;2477315;5860160
713;2477435;5859950
715;2477542;5859768
717;2477663;5859560
717;2477754;5859404
717;2477845;5859248
722;2477936;5859092
722;2478012;5858962
722;2478088;5858832
724;2478163;5858702
717;2480930;5866479
722;2481014;5866156
733;2481098;5865833
747;2481166;5865568
743;2481242;5865274
747;2481340;5864957
759;2481467;5864556
759;2481531;5864355
765;2481677;5863896
768;2481759;5863638
782;2481920;5863249
788;2482096;5862929
791;2482257;5862637
796;2482389;5862397
795;2482536;5862131
